FID,wall,building,sky,tree,road,sidewalk,earth,mountain,car,streetlight,grass,person,plant,fence,railing,bridge,signboard,van,windowpane,column,awning,bicycle,ashcan,pier,ceiling,water,minibike,chair,lake
2060,0.007855,0.098512,0.43368,0.029613,0.207812,0.002535,0.0038009999999999997,0.0052380000000000005,0.073312,0.0,0.0,0.0,0.0,0.037957,0.0,0.0,0.064676,0.031495999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2061,0.0,0.113754,0.399215,0.005965,0.298871,0.008199,0.087164,0.0,0.031848,0.0,0.0017809999999999998,9.4e-05,0.003691,0.023887000000000002,0.0,0.0,0.004887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2062,0.00534,0.10002,0.414703,0.068578,0.305012,0.042246,0.0,0.0,0.01643,0.000344,0.0,0.0,0.004211,0.014996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2063,0.0,0.134543,0.408996,0.0037619999999999997,0.31248400000000004,0.013543000000000001,0.001402,0.0,0.075352,0.001074,0.001402,0.0,0.0013830000000000001,0.005949,0.0,0.0,0.002242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2064,0.000234,0.086785,0.41452,0.03375,0.22694099999999998,0.0018440000000000002,0.002008,0.0,0.146016,0.0,0.001629,0.0,0.031242000000000002,0.047965,0.0,0.0,0.0014140000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2065,8.2e-05,0.155934,0.305156,0.11836700000000001,0.264395,0.0,0.01659,0.0,0.081191,0.0,8.2e-05,0.0,0.058203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2066,0.0045590000000000006,0.066562,0.33119499999999996,0.19155899999999998,0.252711,0.009504,0.01341,0.0,0.122324,0.0007379999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007437999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067,0.0,0.16047999999999998,0.334906,0.02475,0.262586,0.072172,0.0,1.2e-05,0.001648,0.000484,0.03223,0.0,0.047406000000000004,0.00066,0.0,0.0,0.006573999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2068,0.0,0.0,0.358234,0.187148,0.0,0.0,0.0,0.0,0.0,0.0034649999999999998,0.335559,0.0,0.068332,0.023531,0.0,0.0,0.004293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2069,0.0016719999999999999,0.013366999999999999,0.23229699999999998,0.223902,0.20344500000000001,0.016051,0.062961,0.0,0.03241,0.0,0.01123,0.0,0.005004,0.083676,0.0,0.0,0.0005780000000000001,0.0,0.0,0.0,0.0,0.0,0.002863,0.0,0.0,0.0,0.0,0.0,0.0
2070,0.023863,0.003312,0.205855,0.402402,0.193719,0.044629,0.037504,0.0,0.000586,0.0,0.0007070000000000001,0.0,0.017168,0.033938,0.0,0.0034490000000000002,0.001297,0.0,0.0,0.0,0.0,0.0,0.002184,0.0,0.0,0.0,0.0,0.0,0.0
2071,0.00073,0.019586000000000003,0.13064800000000001,0.37254299999999996,0.212695,0.09091,0.0009689999999999999,0.0,0.010254000000000001,0.002281,0.054922000000000006,0.0,0.003148,0.032422,0.0,0.0,4.3e-05,0.0,0.0,0.0,0.0,0.0,0.001098,0.0,0.0,0.0,0.0,0.0,0.0
2072,0.000117,0.093602,0.394855,0.07907,0.22838699999999998,0.001547,0.00020299999999999997,0.0,0.12646500000000002,0.000898,0.000859,0.0,0.011323999999999999,0.001691,0.0,0.0,0.020711,0.0016640000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2073,8.2e-05,0.016645,0.368758,0.131418,0.279785,0.038452999999999994,0.0,0.0,0.0017620000000000001,0.0,0.008020000000000001,0.0,0.017230000000000002,0.043082,0.0,0.0,0.0024690000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2074,0.013129,0.016801,0.253434,0.25461300000000003,0.256238,0.078762,0.0,0.0,0.003074,0.0,0.00031600000000000004,0.0,0.022941,0.098539,0.0,0.0,0.0,0.0,0.0,0.000379,0.0,0.0,0.000465,0.0,0.0,0.0,0.0,0.0,0.0
