ID,Lng,Lat,angle,highway
1761.0,153.0327553207,-27.4327755912,280.59702693849084,residential
1762.0,153.0323138235,-27.43270189,280.59702693849084,residential
1763.0,153.045779,-27.430536,7.930572489737816,residential
1764.0,153.0458409717,-27.4301390569,7.930572489737816,residential
1765.0,153.0459029433,-27.4297421123,7.930572489737816,residential
1766.0,153.0296514,-27.452342,230.41394986548875,primary
1767.0,153.02928395799998,-27.4525691386,241.66192427781985,primary
1768.0,153.0285809,-27.4528485,33.91022836140708,primary
1769.0,153.0288649267,-27.452541871799998,29.500643833705297,primary
1770.0,153.0290882,-27.4528276,291.85692097248545,primary
1771.0,153.0292657,-27.4478607,8.924078889865001,primary
1772.0,153.0293353758,-27.447464838200002,8.924078889865001,primary
1773.0,153.0294095192,-27.447069625300003,9.618812787184076,primary
1774.0,153.02948457,-27.4466745434,9.618812787184076,primary
1775.0,153.0252946,-27.4562622,284.17417654268763,primary
1776.0,153.0379891,-27.4520066,221.6121745390812,residential
1777.0,153.0376908211,-27.4523061832,221.6121745390812,residential
1778.0,153.0373934038,-27.452606441,220.9927853298513,residential
1779.0,153.0267384,-27.4546644,191.6347977454811,primary
1780.0,153.0266342688,-27.4550538557,197.5564626240431,primary
1781.0,153.0264882572,-27.455432556399998,201.39173592717358,primary
1782.0,153.0263056411,-27.4557963685,212.9748100444342,primary
1783.0,153.0259792128,-27.4560633449,244.72322694212514,primary
1784.0,153.0255540039,-27.4561906679,252.82268826678313,primary
1785.0,153.0251327091,-27.456327362399996,243.90623449349513,primary
1786.0,153.024796992,-27.4565853949,216.7857311418241,primary
1787.0,153.0296514,-27.452342,58.12748545972935,primary
1788.0,153.0288807,-27.4504327,190.9479075873673,primary
1789.0,153.0288061287,-27.4508275417,185.66089781938888,primary
1790.0,153.0287939993,-27.4512276906,177.54086525562468,primary
1791.0,153.0368818,-27.4439581,32.072378696970524,motorway
1792.0,153.03712630479998,-27.4436220148,36.66062814225027,motorway
1793.0,153.0369797,-27.4439819,205.13874229874577,motorway
1794.0,153.0287971,-27.4512922,169.8559460044779,primary
1795.0,153.0427116,-27.4398143,136.38061354667923,secondary
1796.0,153.0287061,-27.4512956,357.5395008921196,primary
1797.0,153.02870793600002,-27.450895217600003,3.1754136534820168,primary
1798.0,153.0287721602,-27.450499006100003,12.196167082726598,primary
1799.0,153.0310609,-27.4434754,330.04298322382476,motorway
1800.0,153.030773184,-27.44317398,308.9510904257233,motorway
1801.0,153.032168,-27.4415758,155.65081781027726,motorway
1802.0,153.0323169269,-27.4419528366,166.53401650181243,motorway
1803.0,153.032362475,-27.4423502708,180.49697261875332,motorway
1804.0,153.0323017304,-27.4427462566,192.97556876206298,motorway
1805.0,153.0078106,-27.4561433,117.78428848518577,primary
1806.0,153.0082126232,-27.4563217123,114.97561509728271,primary
1807.0,153.0086197609,-27.456490927399997,114.98527523026308,primary
1808.0,153.0090331197,-27.4566433491,97.1657293171837,primary
1809.0,153.0094801007,-27.456675949,90.65345411529613,primary
1810.0,153.0099292287,-27.4566805494,90.66060149720595,primary
1811.0,153.0312748,-27.4469596,10.739833939144306,motorway
1812.0,153.031356055,-27.4465655096,9.719413345391944,motorway
1813.0,153.0233005,-27.4553761,209.25505377493042,motorway
1814.0,153.0230373347,-27.4557004112,218.33571845835496,motorway
1815.0,153.0227449329,-27.456004435300002,222.3876778010757,motorway
1816.0,153.0224265551,-27.4562866546,229.3195546166386,motorway
1817.0,153.0220734422,-27.4565337583,236.04272989710063,motorway
1818.0,153.0216967239,-27.456751766999997,241.9009880171684,motorway
1819.0,153.02129554319998,-27.4569316722,246.579880937206,motorway
1820.0,153.023473,-27.4550932,207.77079289639912,motorway
1821.0,153.023165,-27.455325,33.112102356583485,motorway
1822.0,153.0319306,-27.4582,37.039111848108725,unclassified
1823.0,153.0321950377,-27.457876146599997,35.79079404815933,unclassified
1824.0,153.0324691351,-27.4575588198,39.37323344035933,unclassified
1825.0,153.0188549,-27.4569321,94.44438391721742,motorway
1826.0,153.019302707,-27.456963149099998,94.44438391721742,motorway
1827.0,153.0197510469,-27.4569831553,90.48533980376521,motorway
1828.0,153.02019944129998,-27.456964932600002,82.27983525172286,motorway
1829.0,153.0206439786,-27.4569077453,81.14242794988651,motorway
1830.0,153.02108152879998,-27.4568255712,68.69792823690024,motorway
1831.0,153.0214947659,-27.456669030700002,65.23329784153815,motorway
1832.0,153.0218907373,-27.456480809499997,56.93380677088477,motorway
1833.0,153.0222601483,-27.4562531431,52.62378517647994,motorway
1834.0,153.0225900115,-27.4559823469,42.56198631928449,motorway
1835.0,153.02288706,-27.455681931300003,40.03485293544826,motorway
1836.0,153.0231440474,-27.4553535889,33.17660482908244,motorway
1837.0,153.0375633,-27.4559056,311.23332455431927,unclassified
1838.0,153.0372252487,-27.4556417748,311.1748197941236,unclassified
1839.0,153.0368871658,-27.455377981199998,311.1748197941236,unclassified
1840.0,153.0365490829,-27.4551141869,311.1748197941236,unclassified
1841.0,153.0539672,-27.4583548,9.893304820143763,residential
1842.0,153.05404437159999,-27.4579600842,9.893304820143763,residential
1843.0,153.0541215431,-27.457565366999997,9.893304820143763,residential
1844.0,153.0541987147,-27.4571706484,9.893304820143763,residential
1845.0,153.0542747917,-27.4567757613,9.517462026256707,residential
1846.0,153.0570531,-27.4585807,84.59735984669342,residential
1847.0,153.0574519658,-27.458417145,57.601137973052815,residential
1848.0,153.0578312069,-27.4582024601,57.601137973052815,residential
1849.0,153.058183709,-27.457972205100003,8.667049971027854,residential
1850.0,153.05825139360002,-27.457576105100003,8.667049971027854,residential
1851.0,153.0548515,-27.4594052,99.16754151941043,residential
1852.0,153.0552949204,-27.459469035399998,99.16754151941043,residential
1853.0,153.0557383408,-27.4595328708,99.16754151941043,residential
1854.0,153.0561817612,-27.4595967061,99.16754151941043,residential
1855.0,153.0566251816,-27.459660541399998,99.16754151941043,residential
1856.0,153.05706860200002,-27.459724376700002,99.16754151941043,residential
1857.0,153.0575120224,-27.4597882119,99.16754151941043,residential
1858.0,153.0579554429,-27.4598520471,99.16754151941043,residential
1859.0,153.058398956,-27.4599153592,98.80360505397283,residential
1860.0,153.058842822,-27.4599766806,98.80360505397283,residential
1861.0,153.059286688,-27.4600380019,98.80360505397283,residential
1862.0,153.059730554,-27.4600993232,98.80360505397283,residential
1863.0,153.06017442,-27.460160644499997,98.80360505397283,residential
1864.0,153.060618286,-27.4602219657,98.80360505397283,residential
1865.0,153.0535674,-27.4601369,98.88327844024124,residential
1866.0,153.05401204540001,-27.4601927946,90.5131425375372,residential
1867.0,153.0544560464,-27.4602493736,99.37477390820796,residential
1868.0,153.0548992051,-27.460314638699998,99.37477390820796,residential
1869.0,153.05534236370002,-27.4603799038,99.37477390820796,residential
1870.0,153.0557855224,-27.460445168899998,99.37477390820796,residential
1871.0,153.0562286811,-27.460510433899998,99.37477390820796,residential
1872.0,153.0566718398,-27.460575698899998,99.37477390820796,residential
1873.0,153.0571149985,-27.460640963899998,99.37477390820796,residential
1874.0,153.0575581571,-27.4607062288,99.37477390820796,residential
1875.0,153.0580013158,-27.460771493699998,99.37477390820796,residential
1876.0,153.0584445808,-27.460836180100003,99.2477080364185,residential
1877.0,153.0588879007,-27.460900568000003,99.2477080364185,residential
1878.0,153.05933122049998,-27.4609649559,99.2477080364185,residential
1879.0,153.0597745404,-27.4610293438,99.2477080364185,residential
1880.0,153.0602178602,-27.4610937316,99.2477080364185,residential
1881.0,153.0494146,-27.4609384,355.1180052109118,residential
1882.0,153.049376375,-27.460539189000002,355.1180052109118,residential
1883.0,153.0493381499,-27.460139976599997,355.1180052109118,residential
1884.0,153.0489484574,-27.4600753815,265.5411682867664,residential
1885.0,153.0485006591,-27.460106530500003,265.5411682867664,residential
1886.0,153.0481130989,-27.4599586926,311.78193598097147,residential
1887.0,153.0476886448,-27.460014627399996,253.11808456364304,residential
1888.0,153.0490338,-27.4521354,163.87649966085547,unclassified
1889.0,153.0487044032,-27.4522998793,238.8459073644284,unclassified
1890.0,153.056434,-27.450921,187.94851168218253,residential
1891.0,153.0563718891,-27.4513178502,187.94851168218253,residential
1892.0,153.0563097781,-27.4517146991,187.94851168218253,residential
1893.0,153.05624766719998,-27.452111546399998,187.94851168218253,residential
1894.0,153.05618517780002,-27.4525083431,188.63051948308032,residential
1895.0,153.0561177763,-27.4529045,188.63051948308032,residential
1896.0,153.0560503748,-27.4533006554,188.63051948308032,residential
1897.0,153.05597479690002,-27.4536955208,191.40564908990837,residential
1898.0,153.0573585,-27.4468405,8.822335959214245,residential
1899.0,153.0574273878,-27.4464445247,8.822335959214245,residential
1900.0,153.0574962756,-27.446048548,8.822335959214245,residential
1901.0,153.0575651027,-27.4456525614,8.810576440201146,residential
1902.0,153.0576338994,-27.4452565692,8.810576440201146,residential
1903.0,153.0577026961,-27.4448605755,8.810576440201146,residential
1904.0,153.05777149280001,-27.4444645804,8.810576440201146,residential
1905.0,153.0578402895,-27.4440685839,8.810576440201146,residential
1906.0,153.0579090862,-27.4436725859,8.810576440201146,residential
1907.0,153.05797788290002,-27.4432765865,8.810576440201146,residential
1908.0,153.0547317,-27.4466657,92.21609616419019,residential
1909.0,153.0551805217,-27.446681195100002,92.21609616419019,residential
1910.0,153.0555253,-27.4623507,276.44303906728055,residential
1911.0,153.0550789793,-27.462305739899996,276.44303906728055,residential
1912.0,153.0542807,-27.4615129,122.69703471815481,residential
1913.0,153.0546334174,-27.4617396428,170.22306593604515,residential
1914.0,153.0547096901,-27.462134483899998,170.22306593604515,residential
1915.0,153.0547773141,-27.462530534899997,171.93138876736805,residential
1916.0,153.0560059,-27.4586493,8.767956678774668,residential
1917.0,153.05607436649998,-27.4582533094,8.767956678774668,residential
1918.0,153.056142833,-27.4578573173,8.767956678774668,residential
1919.0,153.0562112995,-27.4574613239,8.767956678774668,residential
1920.0,153.0631799,-27.4596807,278.9060347031673,tertiary
1921.0,153.0627361576,-27.459618670700003,278.9060347031673,tertiary
1922.0,153.0622924152,-27.4595566414,278.9060347031673,tertiary
