FID,angle,latitude,longitude,wall,ceiling,road,earth,building,sky,tree,sidewalk,person,car,fence,railing,signboard,bridge,minibike,grass,mountain,skyscraper,streetlight,plant,van,column,windowpane,ashcan,awning,bicycle,fountain,water,sculpture,bulletin board,lamp,chair
14069,54.22689242,22.34657,114.147487,0.367207,0.254926,0.374035,0,0,0,0,0.003391,0,0,0,0,4.70E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14070,154.9206876,22.4245455,114.2134689,0,0,0,0,0,0.998758,0,0,0,0,0,0,0.001242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14071,342.8213936,22.42477677,114.2294372,0,0.104699,0.250707,0,0.324852,0.104676,0.012168,0.030137,0.001293,0.013094,0.017016,0.029684,0,0,0,0.003375,0.001328,0,4.00E-06,0.073758,0.000457,0,0,0,0,0,0,0,0,0,0,0
14072,227.3907218,22.36181207,114.1771527,0.005441,0,0.316035,0.048645,0.031254,0.039273,0.380484,0.06575,0.021402,0.000137,0.082359,0,0.004539,0,0,5.10E-05,0,0,0.00091,0,0,0,0,0,0,0.001613,0,0,0,0,0,0
14073,101.4174175,22.3795404,114.2083219,0.00232,0,0.381758,0.083699,0.00123,0.115043,0.381023,0.009777,0,0,0.01141,0.011652,0.001266,0,0,0,0,0,0.000723,0,0,0,0,8.20E-05,0,0,0,0,0,0,0,0
14074,343.6549162,22.4189916,114.2025308,0,0,0.009957,0.020621,0.141305,0.173836,0.246852,0,0,0.000184,0.108805,0,0.004168,0,0,0.04559,0.002043,0,0,0.052047,0,0,0,0,0,0,0,0,0,0,0,0
14075,3.932114729,22.42067055,114.2323257,0.003684,0,0.233066,0,0.21216,0.013938,0.350789,0.069887,0,0.001633,0.017156,0.000152,0,0,0,0.054473,0,0,0,0.043062,0,0,0,0,0,0,0,0,0,0,0,0
14076,73.1159532,22.37941877,114.1610378,0.403531,0.287531,0.033617,0.012109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14077,159.6472704,22.37208599,114.1739752,0,0,0.25366,0,0.184262,0.023508,0.331262,0.126312,0.000414,0.000188,0.018289,0.002523,0.000793,0.038375,0.005004,0.000914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14078,5.158552765,22.3763951,114.1768227,0.009133,7.00E-05,0.406234,0,0.25716,0.028043,0.115641,0.005391,0,0.017836,2.30E-05,0.005586,0.002664,0.112793,0,0.006098,0,0,0,0.025508,0,0.00782,0,0,0,0,0,0,0,0,0,0
14079,316.2254799,22.38272132,114.2067296,0.005695,0,0.363277,0,0.312598,0.141816,0.062914,0.020867,0.000426,0.003602,0.069492,0,0.002742,0,0,0,0,0,0,0,0.000457,0,0,0,0,0,0,0,0,0,0,0
14080,201.4014109,22.39552839,114.2095976,0,0,0.337547,0.031,0.204254,0.184566,0.161164,0.032535,0,0.008707,0.025133,0,0,0.000191,0,0.009363,0,0,0,0.005539,0,0,0,0,0,0,0,0,0,0,0,0
14081,48.54126681,22.414319,114.228441,0.308039,0.226492,0.413051,0,0,0,0.04234,0.000586,0,0.000727,0,0,0.004062,0,0,0,0,0,0,0,0,0.004574,0,0,0,0,0,0,0,0,0,0
14082,212.1778645,22.3841164,114.1901496,0.013879,0,0.197234,0,0.464855,0.101406,0.078199,0.024711,0,0.094648,0,0,0,0,0,0.000188,0,0,0,0.012738,0,0,0,0,0.000289,0,0.001172,0,0,0,0,0
14083,319.9355866,22.3716086,114.1752329,0.014453,0,0.309133,0.005746,0.037387,0.139203,0.351789,0.007922,0,0.000465,0.122895,0.008023,2.30E-05,0,0,0,0,0,0,0.002961,0,0,0,0,0,0,0,0,0,0,0,0
14084,44.39247997,22.38454765,114.2057188,0,0,0.20573,0,0.033965,0.124672,0.148648,0.003023,0,0.060879,0.002105,0.049738,3.50E-05,0.006961,0,0.002719,0.004879,0,0,0.122082,0,0,0.006434,0,0,0,0,0,0,0,0,0
14085,239.5369483,22.3725864,114.1957307,0.054148,0,0.384965,0,0.003191,0.048047,0.45916,0.043012,0,1.20E-05,0.002355,0,0.004312,0,0,0,0,0,0.000797,0,0,0,0,0,0,0,0,0,0,0,0,0
14086,115.5487279,22.41636214,114.2102667,0,0,0,0.020465,0,0.000414,0.532703,0,0.00025,0,0.002168,0,0,0,0,0.126941,0,0,0,0.095695,0,0,0,0,0,0,0.020777,0.032086,0,0,0,0
14087,44.36301765,22.38584693,114.2044004,0,0,0,0,0,0.998758,0,0,0,0,0,0,0.001242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14088,42.67958795,22.36113863,114.1622165,0.024352,0,0.222277,0.004875,0.158988,0.217781,0.240852,0.085473,0,0.001367,0.026148,1.60E-05,0.000129,0,0,0,0,0,0,0.017742,0,0,0,0,0,0,0,0,0,0,0,0
14089,130.0291968,22.39802051,114.1908921,0.002039,0,0.265121,0,0.662227,0.039,0,0.014098,0.000699,0.006906,0,0,0,0,8.00E-06,0,0,0,0,0,0.002363,0,0,0,0,0,0,0,0,0,0,0
14090,42.92530456,22.36127401,114.1772076,0,0,0.28241,8.00E-06,0,0.197922,0.414078,0,0,0.064258,0.032004,0.006129,0.001996,0,0,0.000371,0.00041,0,0.000414,0,0,0,0,0,0,0,0,0,0,0,0,0
14091,211.3724959,22.38088091,114.1867313,0.00802,0,0.279273,0.000422,0.283004,0.120914,0.066777,0,1.60E-05,0.007867,0.149188,0,0.04359,0.037633,0,0,0.000441,0,0,0,0.000836,0,0,0,0,0,0,0,0,0,0,0
14092,65.955987,22.3894978,114.2035952,0.010992,0,0.30202,0.001414,0.230266,0.206496,0.05091,0.010949,0.000754,0.014035,0.033754,0.077285,0,0.02732,0,0,0.002945,0.029711,0,0.001148,0,0,0,0,0,0,0,0,0,0,0,0
14093,215.8391602,22.41792707,114.2324565,0.000836,0,0.187395,0.039125,0,0.096047,0.549137,0.058355,0.000422,0.000316,0.022121,0.004176,0.034152,0,0,0.007461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14094,131.4755457,22.38433395,114.1927081,5.90E-05,0,0.291742,0,0.206453,0.120383,0.228145,0.074293,0.001332,0.018562,0.015812,0,0.004422,0,0,0.000562,0,0,0,0.038215,0,0,0,0,0,0,0,0,0,0,0,0
14095,308.8955034,22.37001197,114.1954553,0,0,0,0,0,0.998758,0,0,0,0,0,0,0.001242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14096,286.0690278,22.3776468,114.2011575,0.144676,0,0.257078,0,0.095938,0.36907,0.090586,0,0,0.006301,0.027387,0.001602,0.000367,0.000652,0,0,0.005824,0,0.000129,0.000391,0,0,0,0,0,0,0,0,0,0,0,0
14097,273.5871199,22.3750509,114.1854857,0,0,0.214996,0,0.296562,0.194047,0.066867,0.075098,0.000254,0.000953,0.023992,0,0.014199,0,0,0.017965,0.008199,0,0.002562,0.01018,0,0,0,0,0,0,0,0,0,0,0,0
14098,199.3453233,22.41787929,114.2260215,0.001535,0,0.29618,0,0.460562,0.062418,0.070652,0.007613,0,0.029559,0.025984,0,0.019742,0,0,0,0,0.024496,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14099,305.9732988,22.42926628,114.2038438,0.005898,0,0.30782,0,0.175043,0.097547,0.245488,0.002547,0.001133,0.00709,0.09284,0.00075,0,0,0,0,0,0,0.00023,0.0635,0.000113,0,0,0,0,0,0,0,0,0,0,0
14100,203.6166276,22.39357646,114.1908035,0.003594,0,0.357934,0.111625,0.052984,0.060836,0.405094,0,0.000914,0,0.000492,0,0,0,0,4.30E-05,4.30E-05,0,0,0.002621,0,0,0,0,0,0,0,0,0,0,0,0
14101,230.5836914,22.4162201,114.2314445,0.044367,0,0.316582,0,0.195152,0.226828,0.214812,4.30E-05,0,0.002215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14102,7.322935371,22.3991282,114.2003695,0.003699,0,0.391879,0.000707,0.019758,0.204969,0.244672,0.052047,0.007895,0.002477,0.00066,0,0.017469,0,0,0.012332,0,0.024773,0.000535,0,0,0,0,0,0.001484,0,0,0,0,0,0,0
14103,149.3310327,22.41019854,114.2131422,0.034168,0,0.351367,0.057066,0.049438,0.398035,0.017266,0,0,9.80E-05,0.007793,0.019848,0.00032,0.003926,0,0,0.051418,0,0.001566,0,0,0,0,0,0,0,0,0,0,0,0,0
14104,323.4417373,22.34977784,114.1781711,0.432148,0.259777,0.112598,0.121613,0,0,0,0,0.000211,0.001359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14105,107.4457769,22.41255976,114.2230553,0.001258,0,0.247879,0,0.072957,0.147793,0.153699,0.077516,0.001457,0.010344,0.000176,0,0,0.111172,0,0.011699,0,0,0.000645,0.116562,0,0.001555,0,0,0,0,0,0.001074,0,0,0,0
14106,34.41699965,22.38541183,114.1900302,0.045297,0,0.348262,0,0.101262,0.275391,0.075535,0,0,0.005379,0.041344,0.00059,0,0,0,8.00E-06,0,0,0.000191,0.007094,0,0,0,0,0,0,0,0,0,0,0,0
14107,49.03019549,22.40519292,114.2199251,0.119965,0,0.333801,0,0.003215,0.198523,0.286,0.001172,0,0,0.002414,0,0,0,0,0.034867,0.020043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14108,188.6661496,22.38640913,114.2111031,0.011516,0,0.388344,0.001137,0.108391,0.10857,0.152848,0,0,0.004523,0.036086,0,0.083121,0.055852,0,5.90E-05,0.016215,0,0,0.000129,0,0,0,0,0,0,0,0,0,0,0,0
14109,35.20305501,22.39200714,114.1962039,0.100801,0,0.273012,0.012449,0.059789,0.330547,0.14025,0.009824,0.001656,0.03116,0.023684,0,0.006562,0,0,0,4.00E-06,0.000145,0,0,0.006156,0,0,0.001711,0,0,0,0,0,0,0,0
14110,191.0973713,22.41307301,114.2130608,0,0,0.333605,0.005156,0.000469,0.121688,0.456887,0,0,0.002891,0.044977,0,0.009363,0.002805,0,0.013117,0,0,0.000539,0,0,0,0,0,0,0,0,0.008125,0,0,0,0
14111,206.3182621,22.356016,114.2089009,0,0,0.192574,0.00248,0,0.0745,0.627156,0,0,0,0.001914,0,0.001789,0,0,0.099332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14112,157.6029005,22.37628948,114.1695878,0.011668,0,0.375223,0,0.350746,0.062492,0.134848,0.028066,0.002609,0.000277,0.011875,0,0.005668,0,0,0,0,0,0.002859,0.000574,0.001895,0,0,0,0,0,0,0,0,0,0,0
14113,41.67279017,22.38483929,114.1936469,0.000328,0,0.21507,0.000527,0.08482,0.235426,0.201309,0.060473,0,0.001211,0.04266,0.000266,0.009473,0,0,0.023266,0,0,0.006629,0.089641,0,0,0,0,0,0,0,0,0,0,0,0
14114,158.9257706,22.3734008,114.1900286,0.006852,0,0.409191,0.026266,0.007121,0.098578,0.409832,0,0,0.000633,0.03159,0,0.00075,6.20E-05,0,0.000562,0,0,0.002859,0,0,0,0,0,0,0,0,0,0,0,0,0
